  PID TTY          TIME CMD
    1 ?        00:00:01 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 rcu_gp
    4 ?        00:00:00 rcu_par_gp
    6 ?        00:00:00 kworker/0:0H-kb
    8 ?        00:00:00 mm_percpu_wq
    9 ?        00:00:00 ksoftirqd/0
   10 ?        00:00:00 rcu_sched
   11 ?        00:00:00 migration/0
   12 ?        00:00:00 idle_inject/0
   13 ?        00:00:00 kworker/0:1-mm_
   14 ?        00:00:00 cpuhp/0
   15 ?        00:00:00 cpuhp/1
   16 ?        00:00:00 idle_inject/1
   17 ?        00:00:00 migration/1
   18 ?        00:00:00 ksoftirqd/1
   20 ?        00:00:00 kworker/1:0H-kb
   21 ?        00:00:00 cpuhp/2
   22 ?        00:00:00 idle_inject/2
   23 ?        00:00:00 migration/2
   24 ?        00:00:00 ksoftirqd/2
   26 ?        00:00:00 kworker/2:0H-kb
   27 ?        00:00:00 cpuhp/3
   28 ?        00:00:00 idle_inject/3
   29 ?        00:00:00 migration/3
   30 ?        00:00:00 ksoftirqd/3
   32 ?        00:00:00 kworker/3:0H-kb
   33 ?        00:00:00 kdevtmpfs
   34 ?        00:00:00 netns
   35 ?        00:00:00 rcu_tasks_kthre
   36 ?        00:00:00 kauditd
   37 ?        00:00:00 khungtaskd
   38 ?        00:00:00 oom_reaper
   39 ?        00:00:00 writeback
   40 ?        00:00:00 kcompactd0
   41 ?        00:00:00 ksmd
   42 ?        00:00:00 khugepaged
   43 ?        00:00:00 crypto
   44 ?        00:00:00 kintegrityd
   45 ?        00:00:00 kblockd
   46 ?        00:00:00 kworker/2:1-mm_
   49 ?        00:00:00 tpm_dev_wq
   50 ?        00:00:00 ata_sff
   51 ?        00:00:00 md
   52 ?        00:00:00 edac-poller
   54 ?        00:00:00 devfreq_wq
   55 ?        00:00:00 watchdogd
   58 ?        00:00:00 kswapd0
   59 ?        00:00:00 kworker/u9:0
   60 ?        00:00:00 ecryptfs-kthrea
  149 ?        00:00:00 kthrotld
  150 ?        00:00:00 irq/121-aerdrv
  151 ?        00:00:00 irq/122-aerdrv
  152 ?        00:00:00 irq/123-aerdrv
  153 ?        00:00:00 irq/124-aerdrv
  154 ?        00:00:00 irq/125-aerdrv
  155 ?        00:00:00 irq/126-aerdrv
  156 ?        00:00:00 acpi_thermal_pm
  161 ?        00:00:00 kworker/1:6-eve
  162 ?        00:00:00 kworker/1:7-eve
